StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి

",2024-03-03T10:32:37.233,2024,3
ANDHRA PRADESH,KURNOOL,PATTIKONDA,NA,AGRICULTURE,Others,Others,Government Schemes,"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","UNABLE TO OPEN PM KISAN STATUS , RECOMMENDED TO CALL AGAIN AFTER SOMETIME BECAUSE PM KISAN WEBSITE HAS TECHNICAL  ISSUE ",2024-03-03T11:22:33.683,2024,3
ANDHRA PRADESH,KURNOOL,KOSIGI,NA,AGRICULTURE,Millets,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బు లుగా ఉంటుంది 
",2024-03-03T17:20:40.8,2024,3
ANDHRA PRADESH,KURNOOL,PEDDAKADABUR,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?
",OTP will be sent to your eKYC Registered Mobile Number,2024-03-04T07:54:50.063,2024,3
ANDHRA PRADESH,KURNOOL,DHONE ALIAS DRONACHALAM,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు",2024-03-04T08:06:58.07,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,COTTON MARKET INFORMATION ?,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	COTTON	5,768	7,056	7,829	563	420	Qui	02-03-2024
",2024-03-04T08:32:19.703,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,PADDY NUTRIENT MANAGEMENT ?,RECOMMENDED TO SPRAY FANTAC PLUS 100 ML ACRE ,2024-03-04T08:33:01.53,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,GROUNDNUT MARKET INFORMATION ?,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	GROUND NUT	3,100	6,490	7,135	2,218	2,977	Qui	02-03-2024
",2024-03-04T08:33:43.243,2024,3
ANDHRA PRADESH,KURNOOL,KOLIMIGUNDLA,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?
", DUE TO SITE PROBLEM WE ARE UNABLE TO CHECK THE STATUS ,2024-03-04T08:40:30.097,2024,3
ANDHRA PRADESH,KURNOOL,PATTIKONDA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2024-03-04T08:47:42.153,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Soil Testing,FARMER ASKED QUERY ON CONTACT DETAILS OF SOIL TESTING,"KVK Name	Kurnool 2
KVK Address	Krishi VIgyan Kendra,Banavasi village,Yemmiganur Mandal,Distt. Kurnool
Contact details	Dr T Srinivas, Head KVK, Contact No.: +91-7702366115
Landline No	08512 296111",2024-03-04T10:59:34.817,2024,3
ANDHRA PRADESH,KURNOOL,KURNOOL,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి",2024-03-04T11:47:01.3,2024,3
ANDHRA PRADESH,KURNOOL,PEDDAKADABUR,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
",https://pmkisan.gov.in/BeneficiaryStatus_New.aspx,2024-03-04T19:14:07.38,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
",2024-03-04T19:15:29.65,2024,3
ANDHRA PRADESH,KURNOOL,KODUMUR,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked query on pm kisan samman nidhi status,"-https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
-PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి",2024-03-04T19:47:35.713,2024,3
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,NA,HORTICULTURE,Vegetables,Chillies,Market Information,FARMER ASKED QUERY ON MARKET INFORMATION OF CHILLI,"--ANDHRA PRADESH	GUNTUR	CHILLI BADIGA  Price in Rs.	  Min Price-10,000	MODAL-15,000	MAXIMUM-20,000

ANDHRA PRADESH	GUNTUR	CHILLI-TEJA	  Price in Rs.         Min Price-2,000	Modal Price-20,000	 Max Price-22,000

ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	Price in Rs.   Min Price-8,000  	Modal Price-15,000	   Max Price20,500",2024-03-04T21:40:59.97,2024,3
ANDHRA PRADESH,KURNOOL,KOILAKUNTLA,NA,AGRICULTURE,Pulses,Black Gram (urd bean),"	Plant Protection	",FARMER ASKED QUERY ON POD BORER MANAGEMENT IN BLACK GRAM,"RECOMMENDED TO SPRAY Novaluron 5.25% + Emamectin benzoate 0.9%(BARAZIDE,UPL-GUNTHER) 320 ML /ACRE/200LIT OF WATER 
",2024-03-04T21:41:01.94,2024,3
ANDHRA PRADESH,KURNOOL,PEDDAKADABUR,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked query on PM Kisan Samman Nidhi status,"Reason of Stop Payment (If Any) : Not Eligible
Payment Status : 2nd installment payment stopped by state on request of Districts
FTO processed :-  No",2024-03-05T08:43:43.06,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Vegetables,Chillies,Market Information,Farmer asked query on Mandi details,"                                                                                                                 Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	           12,500	           16,000	            24,500

ఫీడ్బ్యాక్ ఇవ్వకుండా కాల్ని డిస్కనెక్ట్ చేయవద్దు				",2024-03-05T08:48:59.33,2024,3
ANDHRA PRADESH,KURNOOL,NANDYAL,NA,AGRICULTURE,Others,Others,Government Schemes,farmer asked query on PM Kisan Samman Nidhi status,https://pmkisan.gov.in/KnowYour_Registration.aspx,2024-03-05T08:58:45.237,2024,3
ANDHRA PRADESH,KURNOOL,ALLAGADDA,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Nutrient Management,FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN BLACK GRAM,"పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)
బోరాక్స్ 3 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (600 గ్రాములు /ఎకరానికి)
",2024-03-05T10:56:47.137,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,HORTICULTURE,Vegetables,Chillies,Market Information,"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF ONION, CHILLI

","ANDHRA PRADESH	KURNOOL	ONION	525	1,431	1,689
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	12,500	16,000	24,500",2024-03-05T11:13:25.97,2024,3
ANDHRA PRADESH,KURNOOL,KODUMUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"FTO processed :-  No
Payment Status : Rft Signed by State For 14th Installment",2024-03-05T13:18:04.987,2024,3
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,FARMER ASKED QUERY ON MARKET INFORMATION OF GROUNDNUT,"ANDHRA PRADESH	ADONI	GROUND NUT   Price in Rs.	MIN-3,500	MODAL-6,620	    MAXIMUM-7,231",2024-03-05T19:46:54.71,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,HORTICULTURE,Vegetables,Chillies,Market Information,chilli devanur delux market information?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	8,000	8,000	19,000",2024-03-06T07:50:11.65,2024,3
ANDHRA PRADESH,KURNOOL,KOILAKUNTLA,NA,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,pm kisan status?,recommended to contact mee-seva centre,2024-03-06T11:28:40.427,2024,3
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,NA,HORTICULTURE,Vegetables,Cluster Bean,Cultural Practices,cluster bean weed management 25 days ,recommended to hand weeding is the best method ,2024-03-06T11:45:24.567,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,HORTICULTURE,Vegetables,Brinjal,Seeds and Planting Material," FARMER ASKED QUERY ON SOWING TIME  OF BRINJAL
","RECOMMENDED SOWING TIME OF BRINJAL

SUMMER ; FEBUARY - MARCH",2024-03-06T17:37:14.497,2024,3
ANDHRA PRADESH,KURNOOL,KOILAKUNTLA,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2024-03-06T19:05:27.21,2024,3
ANDHRA PRADESH,KURNOOL,GADIVEMULA,NA,AGRICULTURE,Pulses,Black Gram (urd bean),"	Plant Protection	",FARMER ASKED ABOUT POWDERY MILDEW MANAGEMENT IN BLACK GRAM,"RECOMMENDED TO SPRAY FLUXAPYROXAD + PYRACLOSTROBIN (BASF-PRIAXOR , MERIVON) 120 ML/200 LITRES OF WATER /ACRE (SPOTS,P.M,ANTRA,BLI)
ఫ్లూక్సపైరక్సడ్  + పైరక్లోస్ట్రోబిన్ (BASF-ప్రియాక్సర్ , మెరివోన్) 120  మిల్లి లీటర్లు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి  
",2024-03-07T08:25:33.397,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,HORTICULTURE,Fruits,Mosambi,"Water Management, Micro Irrigation",FARMER ASKED QUERY ABOUT WATER MANAGEMENT IN MOSAMBI?,RECOMMENDED TO GIVE 10 LITERS OF WATER PER PLANT IN 5 DAYS INTERVAL THROUGH DRIP UPTO 1 TO 1 1/2 HOUR,2024-03-07T12:56:08.37,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALMENT RELATED ISSUE,"2nd installment payment stoped by state on request of Districts

please contact district nodal officer for this issue",2024-03-07T17:02:30.627,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,HORTICULTURE,Vegetables,Chillies,Market Information,CHILLI MARKET INFORMATION?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	6,000	15,000	21,500",2024-03-08T09:56:52.73,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,HORTICULTURE,Vegetables,Onion,Market Information,ONION MARKET INFORMATION?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	297	1,259	1,689",2024-03-08T09:57:30.253,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Vegetables,Tomato,Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER AND NO SHOWERS  IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
",2024-03-08T11:15:23.44,2024,3
ANDHRA PRADESH,KURNOOL,KOSIGI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ABOUT CROP ENUMARATION AMOUNT,PLEASE CONSULT YOUR VILLAGE AGRICULTURE ASSISTANT,2024-03-08T16:05:39.677,2024,3
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,farmer asked query on cotton market price ? ,"                                                                    Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	COTTON	4,016	7,599	          7,733",2024-03-08T18:09:10.93,2024,3
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,NA,HORTICULTURE,Vegetables,Tomato,Nutrient Management,"FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN TOMATO
","RECOMMENDED TO SPRAY AGRO MINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.
అగ్రోమింమ్యాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి       
RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE)
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
",2024-03-09T10:00:12.12,2024,3
ANDHRA PRADESH,KURNOOL,ASPARI,NA,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",BORER MANAGEMENT IN TOMATO?,RECOMMENDED TO SPRAY  EMAMECTIN BENZOATE 90 GMS/ACRE,2024-03-09T11:03:16.437,2024,3
ANDHRA PRADESH,KURNOOL,CHIPPAGIRI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked query about pm kisan scheme?,pleas calla again,2024-03-09T11:48:21.79,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"THERE IS A DRY WEATHER IN YOUR AREA
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
",2024-03-09T12:20:05.32,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 
",2024-03-09T12:31:51.703,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,AGRICULTURE,Vegetables,Chillies,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
",2024-03-09T12:32:50.76,2024,3
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,NA,AGRICULTURE,Millets,Italian Millet (Thenai/Navane/Foxtail Millet/Kang),"	Plant Protection	",FOXTAIL MILLET GREEN EAR/ SMUT CONTROL MANAGEMENT ?,"మెటలాక్సిల్    200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
",2024-03-09T13:03:01.763,2024,3
ANDHRA PRADESH,KURNOOL,NANDIKOTKUR,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
",2024-03-09T13:07:56.573,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Vegetables,Chillies,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
",2024-03-09T16:06:01.18,2024,3
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది ",2024-03-09T16:12:39.027,2024,3
ANDHRA PRADESH,KURNOOL,C.BELAGAL,NA,AGRICULTURE,Others,Chillies,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ, మబ్బులుగా ఉంటుంది , వర్షం పడే అవకాశం లేదు.",2024-03-09T16:32:58.29,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు",2024-03-09T16:59:36.127,2024,3
ANDHRA PRADESH,KURNOOL,DHONE ALIAS DRONACHALAM,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
",2024-03-09T17:39:00.273,2024,3
ANDHRA PRADESH,KURNOOL,ALUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
",2024-03-09T18:52:16.227,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ, మబ్బులుగా ఉంటుంది , వర్షం పడే అవకాశం లేదు.",2024-03-09T19:27:35.463,2024,3
ANDHRA PRADESH,KURNOOL,PATTIKONDA,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
",2024-03-09T20:19:01.513,2024,3
ANDHRA PRADESH,KURNOOL,TUGGALI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
",2024-03-09T21:09:56.177,2024,3
ANDHRA PRADESH,KURNOOL,NANDYAL,NA,AGRICULTURE,Others,Others,Government Schemes,ysr cheyutha scheme ?,recommended to contact  volunteer,2024-03-10T08:42:00.533,2024,3
ANDHRA PRADESH,KURNOOL,HALAHARVI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"https://pmkisan.gov.in/BeneficiaryStatus_New.aspx 
Registration Number	Name
AP220723018	REDDY PAMPANNA GOUD",2024-03-10T09:00:27.69,2024,3
ANDHRA PRADESH,KURNOOL,DHONE ALIAS DRONACHALAM,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
",2024-03-10T13:07:40.97,2024,3
ANDHRA PRADESH,KURNOOL,C.BELAGAL,NA,HORTICULTURE,Vegetables,Chillies,Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
",2024-03-10T14:45:08.76,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,HORTICULTURE,Vegetables,Onion,Market Information,farmer asked query on onion market price ?,"onion market price -1,689",2024-03-10T16:57:25.88,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF COTTON ?
","ANDHRA PRADESH	ADONI	COTTON	4,016	7,599	7,733",2024-03-10T16:58:49.067,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
",2024-03-10T17:06:37.873,2024,3
ANDHRA PRADESH,KURNOOL,DHONE ALIAS DRONACHALAM,NA,HORTICULTURE,Vegetables,Onion,Weather,Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
",2024-03-10T17:51:58.95,2024,3
ANDHRA PRADESH,KURNOOL,KOSIGI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
",2024-03-10T18:07:57.287,2024,3
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
",2024-03-10T18:11:08.76,2024,3
ANDHRA PRADESH,KURNOOL,NANDAVARAM,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,https://pmkisan.gov.in/Rpt_BeneficiaryStatus_pub.aspx,2024-03-10T18:20:42.597,2024,3
ANDHRA PRADESH,KURNOOL,DHONE ALIAS DRONACHALAM,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.",2024-03-10T18:34:29.913,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON ABOUT INPUT SUBCIDY DETAILS,PLEASE CONTACT B.USA RANI--8331057421,2024-03-10T19:17:06.743,2024,3
