Query,Answer
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN BLACK GRAM,"పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)
బోరాక్స్ 3 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (600 గ్రాములు /ఎకరానికి)
"
"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF ONION, CHILLI

","ANDHRA PRADESH	KURNOOL	ONION	525	1,431	1,689
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	12,500	16,000	24,500"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"FTO processed :-  No
Payment Status : Rft Signed by State For 14th Installment"
FARMER ASKED QUERY ON MARKET INFORMATION OF GROUNDNUT,"ANDHRA PRADESH	ADONI	GROUND NUT   Price in Rs.	MIN-3,500	MODAL-6,620	    MAXIMUM-7,231"
chilli devanur delux market information?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	8,000	8,000	19,000"
pm kisan status?,recommended to contact mee-seva centre
cluster bean weed management 25 days ,recommended to hand weeding is the best method 
" FARMER ASKED QUERY ON SOWING TIME  OF BRINJAL
","RECOMMENDED SOWING TIME OF BRINJAL

SUMMER ; FEBUARY - MARCH"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED ABOUT POWDERY MILDEW MANAGEMENT IN BLACK GRAM,"RECOMMENDED TO SPRAY FLUXAPYROXAD + PYRACLOSTROBIN (BASF-PRIAXOR , MERIVON) 120 ML/200 LITRES OF WATER /ACRE (SPOTS,P.M,ANTRA,BLI)
ఫ్లూక్సపైరక్సడ్  + పైరక్లోస్ట్రోబిన్ (BASF-ప్రియాక్సర్ , మెరివోన్) 120  మిల్లి లీటర్లు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి  
"
FARMER ASKED QUERY ABOUT WATER MANAGEMENT IN MOSAMBI?,RECOMMENDED TO GIVE 10 LITERS OF WATER PER PLANT IN 5 DAYS INTERVAL THROUGH DRIP UPTO 1 TO 1 1/2 HOUR
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME INSTALMENT RELATED ISSUE,"2nd installment payment stoped by state on request of Districts

please contact district nodal officer for this issue"
CHILLI MARKET INFORMATION?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	6,000	15,000	21,500"
ONION MARKET INFORMATION?,"Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	297	1,259	1,689"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER AND NO SHOWERS  IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
"
FARMER ASKED QUERY ABOUT CROP ENUMARATION AMOUNT,PLEASE CONSULT YOUR VILLAGE AGRICULTURE ASSISTANT
farmer asked query on cotton market price ? ,"                                                                    Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	COTTON	4,016	7,599	          7,733"
"FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN TOMATO
","RECOMMENDED TO SPRAY AGRO MINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.
అగ్రోమింమ్యాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి       
RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE)
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
"
BORER MANAGEMENT IN TOMATO?,RECOMMENDED TO SPRAY  EMAMECTIN BENZOATE 90 GMS/ACRE
Farmer asked query about pm kisan scheme?,pleas calla again
Farmer asked query on Weather,"THERE IS A DRY WEATHER IN YOUR AREA
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
"
FOXTAIL MILLET GREEN EAR/ SMUT CONTROL MANAGEMENT ?,"మెటలాక్సిల్    200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది "
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ, మబ్బులుగా ఉంటుంది , వర్షం పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ, మబ్బులుగా ఉంటుంది , వర్షం పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
ysr cheyutha scheme ?,recommended to contact  volunteer
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"https://pmkisan.gov.in/BeneficiaryStatus_New.aspx 
Registration Number	Name
AP220723018	REDDY PAMPANNA GOUD"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
farmer asked query on onion market price ?,"onion market price -1,689"
"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF COTTON ?
","ANDHRA PRADESH	ADONI	COTTON	4,016	7,599	7,733"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,https://pmkisan.gov.in/Rpt_BeneficiaryStatus_pub.aspx
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
FARMER ASKED QUERY ON ABOUT INPUT SUBCIDY DETAILS,PLEASE CONTACT B.USA RANI--8331057421
farmer asked query on varieties of green gram ?,"-ఎమ్.జి.జి. – 295- మొక్కలు నిటారుగా పెరగుతాయి. కాపు మొక్క పైభాగానే ఉండి, గింజ మధ్యస్థ లావుగా, సాదాగా ఉంటుండి. నల్లమచ్చ తెగులును తట్టుకొంటుంది. మోవ్వుకుళ్ళు తెగులును కొంతవరకు తట్టుకొంటుంది."
Farmer asked query on Weather,"
THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 

"
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"
THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 

"
farmer asked query on about input subsidy details,recommended to please contact technical assistant . b.usha rani 8331057421
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER AND NO SHOWERS  IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.

"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER AND NO SHOWERS  IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
cotton sowing season ?,"ప్రత్తి సాధారణంగా ఏకవార్షిక పంట. ఇది ఖరీఫ్ సాగకు అనుకూలమైన పంట. పంటకాలం దాదాపు ఏడు నుండి ఎనిమిజి నెలలు. దీనిని జూన్, జులై నెలలో విత్తుకోవచ్చు. వర్షాధారంగా జులై 20 తరువాత ప్రత్తిని విత్తితే దిగుబడులు బాగా తగ్గుతాయి.

నీటి వసతి ఉన్న చోట ప్రత్తిని మే చివర లేద జూన్ మొదటి పక్షంలో విత్తుకుంటే దిగుబడులు బాగా వస్తాయి. తొలకరిలో కనీసం 60 మి.మీ. వర్షం కురిసిన తర్తాత మంచి తేమలో ప్రత్తిని విత్తుకుంటే, భూమిలో వేడి తగ్గి, మొలక శాతం బాగుంటుంది.

"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF BANANA
","1800 233 7425 , 1800 103 8616 - MARKETING KISAN CELL
https://enam.gov.in/web/Enam_ctrl/enam_registration"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 
"
" FERTILIZER MANAGEMENT IN PADDY MAIN FIELD
","--RECOMMENDED TO APPLY 1 BAG - DAP , UREA -33 KGS , POTASH - 15-20 KGS  BEFORE TRANSPLANTING IN MAIN FIELD ., LATER 32 KGS OF UREA AND 15 KGS OF POTASH AT 25-30 DAYS( PILAKA DASHA ) AND ALSO AT 60-65 DAYS ( CHIRRUPOTTA DASHA) "
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
farmer asked query on onion market price ?," onion market price -1,710"
FARMER ASKED QUERY ABOUT MARKET INFORMATION OF ONION?,"                                                                                         Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	              329	          1,469	          1,669/Q"
FARMER ASKED QUERY ABOUT MARKET INFORMATION OF ONION?,"                                                                                         Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	              329	          1,469	          1,669/Q"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
8331057514,8331057421"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME 
","దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"Payment Status :
2nd installment payment stoped by state on request of Districts
PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER "
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది."
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
FARMER ASKED QUERY ON MARKET INFORMATION OF chilli,"                                                                                       		
ANDHRA PRADESH	GUNTUR	CHILLI BADIGA    Price in Rs.	Min Price-5,000	Modal Price-13,000 	Max Price-36,000
"
FARMER ASKED QUERY ON ONION PRICE,"                                                                                 Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	     326	          810	             1,515"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?,"RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"OTP has been sent at Aadhaar registered mobile no.

PLEASE CALL BACK AFTER GETTING PM KISAN REGISTER MOBILE NUMBER"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.

"
"FARMER ASKED QUERY ON WILT ,ROOT ROT MANAGEMENT IN CURRYLEAF","RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX,BLUE COPPER) 600  GM /200 LITRES OF WATER / ACRE  
కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
Farmer asked query on Mandi details,"                                                                                         Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI BADIGA	    9,500	           12,000	           30,000"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది 
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది,వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (10%).  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బులుగా ఉంటుంది 
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"మీ ప్రాంతం లో ఈ రోజు వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతం లో ఈ రోజు వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం లేదు.
"
FARMER ASKED QUERY ON PM KISAN TECHNICAL AO CONTACT NUMBER,RECOMMENDED TO PM KISAN TECHNICAL AO CONTACT NUMBER 8331057421
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"
ANDHRA PRADESH	GUNTUR	CHILLI-TEJA	
Min Price ; 5,000	
Modal Price ; 20,000	
Max Price; 22,500"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Weather in your area is sunny and cloudy with no chance of rain.
"
FARMER ASKED QUERY ABOUT POST HARVEST STORAGE MANANGEMENT FOR BENGAL GRAM ,RECOMMENDED TO DIP THE GUNNY BAGS IN MALATHION 2ML PER ONE LITER OF WATER AND DRY THEM IN SUN AND USE THEM STORING 
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
